team,deficits,wins,draws,losses,points,points_per_deficit,season,games
FC Augsburg,21,5,1,15,16,0.76,2014,All Games
VfB Stuttgart,22,4,2,16,14,0.64,2014,All Games
SC Paderborn 07,24,3,4,17,13,0.54,2014,All Games
VfL Wolfsburg,13,2,6,5,12,0.92,2014,All Games
SV Werder Bremen,22,1,8,13,11,0.5,2014,All Games
FC Schalke 04,18,2,4,12,10,0.56,2014,All Games
Eintracht Frankfurt,19,2,4,13,10,0.53,2014,All Games
Bayern Munich,8,3,0,5,9,1.13,2014,All Games
Bayer 04 Leverkusen,12,2,3,7,9,0.75,2014,All Games
1.FSV Mainz 05,18,1,5,12,8,0.44,2014,All Games
Hannover 96,21,1,5,15,8,0.38,2014,All Games
SC Freiburg,18,2,2,14,8,0.44,2014,All Games
1.FC Köln,17,1,4,12,7,0.41,2014,All Games
Borussia Mönchengladbach,10,1,3,6,6,0.6,2014,All Games
Borussia Dortmund,17,1,2,14,5,0.29,2014,All Games
Hertha BSC,20,1,2,17,5,0.25,2014,All Games
TSG 1899 Hoffenheim,16,0,2,14,2,0.13,2014,All Games
Hamburger SV,19,0,2,17,2,0.11,2014,All Games
FC Augsburg,8,3,1,4,10,1.25,2014,Home Games
Bayer 04 Leverkusen,6,2,3,1,9,1.5,2014,Home Games
VfB Stuttgart,11,2,1,8,7,0.64,2014,Home Games
SC Freiburg,8,2,0,6,6,0.75,2014,Home Games
SC Paderborn 07,11,1,3,7,6,0.55,2014,Home Games
FC Schalke 04,5,1,2,2,5,1,2014,Home Games
Eintracht Frankfurt,6,1,2,3,5,0.83,2014,Home Games
1.FSV Mainz 05,8,1,2,5,5,0.63,2014,Home Games
VfL Wolfsburg,2,1,1,0,4,2,2014,Home Games
Borussia Dortmund,7,1,1,5,4,0.57,2014,Home Games
1.FC Köln,8,0,4,4,4,0.5,2014,Home Games
Hannover 96,9,1,1,7,4,0.44,2014,Home Games
Bayern Munich,3,1,0,2,3,1,2014,Home Games
SV Werder Bremen,8,0,3,5,3,0.38,2014,Home Games
Hertha BSC,8,1,0,7,3,0.38,2014,Home Games
Hamburger SV,8,0,2,6,2,0.25,2014,Home Games
Borussia Mönchengladbach,3,0,1,2,1,0.33,2014,Home Games
TSG 1899 Hoffenheim,6,0,1,5,1,0.17,2014,Home Games
VfL Wolfsburg,11,1,5,5,8,0.73,2014,Away Games
