team,leads,wins,draws,losses,points,points_per_lead,season,games
Bayern Munich,28,25,2,1,77,2.75,2014,All Games
VfL Wolfsburg,24,20,4,0,64,2.67,2014,All Games
Borussia Mönchengladbach,24,19,2,3,59,2.46,2014,All Games
Bayer 04 Leverkusen,22,17,5,0,56,2.55,2014,All Games
FC Augsburg,16,15,1,0,46,2.88,2014,All Games
FC Schalke 04,16,13,2,1,41,2.56,2014,All Games
Borussia Dortmund,16,13,2,1,41,2.56,2014,All Games
TSG 1899 Hoffenheim,18,12,4,2,40,2.22,2014,All Games
Eintracht Frankfurt,20,11,4,5,37,1.85,2014,All Games
SV Werder Bremen,16,11,3,2,36,2.25,2014,All Games
1.FSV Mainz 05,17,9,5,3,32,1.88,2014,All Games
1.FC Köln,14,9,1,4,28,2,2014,All Games
Hannover 96,16,9,5,2,32,2,2014,All Games
VfB Stuttgart,15,9,4,2,31,2.07,2014,All Games
Hertha BSC,13,9,3,1,30,2.31,2014,All Games
Hamburger SV,12,9,1,2,28,2.33,2014,All Games
SC Freiburg,16,7,8,1,29,1.81,2014,All Games
SC Paderborn 07,12,7,3,2,24,2,2014,All Games
Bayern Munich,15,14,1,0,43,2.87,2014,Home Games
VfL Wolfsburg,16,13,3,0,42,2.63,2014,Home Games
Borussia Mönchengladbach,15,12,1,2,37,2.47,2014,Home Games
Bayer 04 Leverkusen,12,10,2,0,32,2.67,2014,Home Games
FC Augsburg,10,9,1,0,28,2.8,2014,Home Games
FC Schalke 04,11,10,1,0,31,2.82,2014,Home Games
Borussia Dortmund,10,9,1,0,28,2.8,2014,Home Games
TSG 1899 Hoffenheim,13,9,2,2,29,2.23,2014,Home Games
Eintracht Frankfurt,12,9,2,1,29,2.42,2014,Home Games
SV Werder Bremen,10,8,1,1,25,2.5,2014,Home Games
1.FSV Mainz 05,11,6,3,2,21,1.91,2014,Home Games
1.FC Köln,6,4,1,1,13,2.17,2014,Home Games
Hannover 96,11,6,3,2,21,1.91,2014,Home Games
VfB Stuttgart,6,5,1,0,16,2.67,2014,Home Games
Hertha BSC,8,6,2,0,20,2.5,2014,Home Games
Hamburger SV,7,6,1,0,19,2.71,2014,Home Games
SC Freiburg,9,5,3,1,18,2,2014,Home Games
SC Paderborn 07,8,4,2,2,14,1.75,2014,Home Games
Bayern Munich,13,11,1,1,34,2.62,2014,Away Games
